Unnamed: 0,Country,City,AQI_Value,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,VOCs,SO2,Emissions
0.0,Russian Federation,Praskoveya,51.0,Moderate,1.0,Good,36.0,Good,0.0,Good,51.0,L1,137.4671415,10.58399843,L1
1.0,Brazil,Presidente Dutra,41.0,Good,1.0,Good,5.0,Good,1.0,Good,41.0,L0,106.117357,3.415177318,L0
2.0,Italy,Priolo Gargallo,66.0,Moderate,1.0,Good,39.0,Good,2.0,Good,66.0,L1,176.4768854,-0.907914832,L1
3.0,Poland,Przasnysz,34.0,Good,1.0,Good,34.0,Good,0.0,Good,20.0,L0,105.2302986,3.394131948,L0
4.0,France,Punaauia,22.0,Good,1.0,Good,22.0,Good,0.0,Good,6.0,L0,57.65846625,12.45832718,L0
5.0,United States of America,Punta Gorda,54.0,Moderate,1.0,Good,14.0,Good,1.0,Good,54.0,L1,137.6586304,8.794839177,L1
6.0,Germany,Puttlingen,62.0,Moderate,1.0,Good,35.0,Good,3.0,Good,62.0,L1,175.7921282,6.553713458,L1
7.0,Belgium,Puurs,64.0,Moderate,1.0,Good,29.0,Good,1.0,Good,64.0,L1,172.6743473,8.613424585,L1
8.0,Russian Federation,Pyatigorsk,54.0,Moderate,1.0,Good,41.0,Good,1.0,Good,54.0,L1,135.3052561,11.50283306,L1
9.0,Egypt,Qalyub,50.0,Unhealthy for Sensitive Groups,1.0,Good,31.0,Moderate,1.0,Good,50.0,L2,130.39634565,1.635668992,L2
10.0,China,Qinzhou,68.0,Moderate,1.0,Good,31.0,Moderate,1.0,Good,58.0,L1,170.3658231,3.639800657,L1
11.0,Netherlands,Raalte,41.0,Good,1.0,Good,24.0,Good,6.0,Good,41.0,L0,102.8427025,1.156391836,L0
12.0,India,Radaur,50.0,Unhealthy,1.0,Good,31.0,Unhealthy for Sensitive Groups,1.0,Good,50.0,L3,130.39634565,10.33557199,L3
13.0,Pakistan,Radhan,50.0,Unhealthy,1.0,Good,50.0,Good,1.0,Good,50.0,L3,130.39634565,4.600554453,L3
14.0,Republic of North Macedonia,Radovis,83.0,Moderate,1.0,Good,46.0,Good,0.0,Good,83.0,L1,195.2508217,7.581556453,L1
15.0,France,Raismes,59.0,Moderate,1.0,Good,30.0,Good,4.0,Good,59.0,L1,146.8771247,1.265563251,L1
16.0,India,Rajgir,50.0,Unhealthy,1.0,Good,31.0,Unhealthy for Sensitive Groups,2.0,Good,50.0,L3,130.39634565,14.25976025,L3
17.0,Italy,Ramacca,55.0,Moderate,1.0,Good,47.0,Good,0.0,Good,55.0,L1,145.6424733,3.453331459,L1
18.0,United States of America,Phoenix,72.0,Moderate,1.0,Good,4.0,Good,1.0,Good,72.0,L1,175.9197592,7.27272776,L1
19.0,India,Phulabani,50.0,Unhealthy,1.0,Good,31.0,Moderate,0.0,Good,50.0,L3,130.39634565,11.57703249,L3
20.0,Poland,Piaseczno,28.0,Good,1.0,Good,28.0,Good,2.0,Good,28.0,L0,89.65648769,9.375621577,L0
21.0,India,Pimpri,50.0,Unhealthy for Sensitive Groups,1.0,Good,30.0,Good,2.0,Good,118.0,L2,130.39634565,7.404142042,L2
22.0,Brazil,Pindobacu,33.0,Good,1.0,,10.0,Good,1.0,Good,33.0,L0,88.17528205,6.096734532,L0
23.0,China,Pingyin,50.0,Unhealthy,1.0,Good,31.0,Moderate,6.0,Good,50.0,L3,130.39634565,16.10830332,L3
24.0,Brazil,Pinheiral,50.0,Unhealthy,1.0,,0.0,Good,1.0,Good,50.0,L3,130.39634565,13.56800617,L3
25.0,India,Piravam,81.0,Moderate,1.0,Good,24.0,Good,1.0,Good,81.0,L1,208.6092259,0.15176799,L1
26.0,Colombia,Plato,67.0,Moderate,1.0,Good,16.0,Good,2.0,Good,67.0,L1,160.9900642,6.715253655,L1
27.0,Romania,Poiana Mare,62.0,Moderate,1.0,Good,37.0,Good,1.0,Good,62.0,L1,163.7569802,3.61359391,L1
28.0,Russian Federation,Polevskoy,31.0,Good,1.0,Good,31.0,Good,0.0,Good,17.0,L0,76.4936131,-7.940005672,L0
29.0,France,Pontarlier,56.0,Moderate,1.0,Good,35.0,Good,0.0,Good,56.0,L1,142.0830625,6.109990119,L1
30.0,United States of America,Pontiac,77.0,Moderate,1.0,Good,31.0,Good,1.0,Good,77.0,L1,191.4829339,6.18325325,L1
31.0,Indonesia,Pontianak,44.0,Good,1.0,Good,15.0,Good,0.0,Good,44.0,L0,133.5227818,9.582088857,L0
32.0,Brazil,Porecatu,30.0,Good,1.0,Good,9.0,Good,2.0,Good,30.0,L0,79.86502775,0.049531713,L0
33.0,Finland,Pori,30.0,Good,1.0,Good,30.0,Good,1.0,Good,15.0,L0,69.42289071,-3.728548312,L0
34.0,South Africa,Port Elizabeth,79.0,Moderate,1.0,Good,31.0,Good,5.0,Good,79.0,L1,210.7254491,8.243404297,L1
35.0,United States of America,Port Neches,34.0,Good,1.0,,31.0,Good,7.0,Good,34.0,L0,77.7915635,5.700886938,L0
36.0,United Kingdom of Great Britain and Northern Ireland,Port Talbot,51.0,Moderate,1.0,Good,20.0,Good,5.0,Good,51.0,L1,134.588636,4.269164727,L1
37.0,United States of America,Portales,77.0,Moderate,1.0,Good,34.0,Good,1.0,Good,77.0,L1,177.9032988,3.903543418,L1
38.0,United States of America,Post Falls,61.0,Moderate,1.0,Good,32.0,Good,3.0,Good,61.0,L1,144.2181395,-1.543634771,L1
39.0,Brazil,Pouso Alegre,32.0,Good,1.0,Good,7.0,Good,2.0,Good,32.0,L0,86.96861236,3.105414315,L0
40.0,China,Dalinghe,64.0,Moderate,1.0,Good,31.0,Moderate,4.0,Good,64.0,L1,172.3846658,5.657970852,L1
41.0,Russian Federation,Dalnegorsk,29.0,Good,1.0,Good,29.0,Good,0.0,Good,25.0,L0,79.21368281,7.363543704,L0
42.0,United Republic of Tanzania,Dar Es Salaam,51.0,Moderate,1.0,Good,23.0,Good,0.0,Good,51.0,L1,131.3435172,5.69662682,L1
43.0,India,Darbhanga,50.0,Very Unhealthy,1.0,Good,31.0,Unhealthy,1.0,Good,50.0,L4,130.39634565,6.010014391,L4
44.0,United States of America,Dayton,45.0,Good,1.0,Good,31.0,Good,7.0,Good,45.0,L0,102.7147801,12.41942438,L0
45.0,Belgium,Deinze,36.0,Good,1.0,Good,25.0,Good,3.0,Good,36.0,L0,87.80155792,2.455461619,L0
46.0,Egypt,Dekernes,81.0,Moderate,1.0,Good,31.0,Moderate,4.0,Good,56.0,L1,202.8936123,8.388933619,L1
47.0,Haiti,Delmas,50.0,Unhealthy for Sensitive Groups,1.0,Good,15.0,Good,5.0,Good,50.0,L2,130.39634565,4.765393332,L2
48.0,United States of America,Deming,72.0,Moderate,1.0,,26.0,Good,2.0,Good,72.0,L1,188.4361829,11.95576258,L1
49.0,United Kingdom of Great Britain and Northern Ireland,Denton,55.0,Moderate,1.0,,32.0,Good,1.0,Good,55.0,L1,124.8695984,2.434298879,L1
50.0,United States of America,Destin,31.0,Good,1.0,Good,31.0,Good,0.0,Good,25.0,L0,85.74083969,2.582071139,L0
51.0,Pakistan,Dhadar,50.0,Unhealthy,1.0,Good,31.0,Moderate,1.0,Good,50.0,L3,130.39634565,3.100648206,L3
52.0,India,Dharmapuri,60.0,Moderate,1.0,Good,31.0,Good,1.0,Good,60.0,L1,148.23078,4.78255963,L1
53.0,Pakistan,Digri,50.0,Unhealthy,1.0,Good,40.0,Good,0.0,Good,50.0,L3,130.39634565,9.797689193,L3
54.0,Somalia,Dinsor,22.0,Good,1.0,Good,19.0,Good,0.0,Good,22.0,L0,70.30999522,6.229219223,L0
55.0,Philippines,Dipolog,30.0,Good,1.0,Good,17.0,Good,0.0,Good,30.0,L0,89.31280119,3.940380906,L0
56.0,Latvia,Dobele,44.0,Good,1.0,Good,34.0,Good,0.0,Good,44.0,L0,106.6078248,12.30662553,L0
57.0,United States of America,Grandville,47.0,Good,1.0,Good,31.0,Good,4.0,Good,47.0,L0,119.4078762,8.164928207,L0
58.0,Netherlands,Grave,37.0,Good,1.0,Good,32.0,Good,2.0,Good,37.0,L0,100.8126343,-0.190905596,L0
59.0,United States of America,Green Valley,44.0,Good,1.0,,14.0,Good,1.0,Good,44.0,L0,124.7554513,-3.101741769,L0
60.0,United States of America,Greendale,58.0,Moderate,1.0,Good,14.0,Good,1.0,Good,58.0,L1,145.2082576,3.524930991,L1
61.0,Poland,Grudziadz,37.0,Good,1.0,,33.0,Good,0.0,Good,37.0,L0,95.64341023,4.066743893,L0
62.0,Colombia,Guamo,89.0,Moderate,1.0,Good,3.0,Good,6.0,Good,89.0,L1,216.4366503,10.38600185,L1
63.0,Italy,Guardiagrele,52.0,Moderate,1.0,Good,38.0,Good,7.0,Good,52.0,L1,123.0379338,12.39568842,L1
64.0,Chad,Guelengdeng,59.0,Moderate,1.0,Good,16.0,Good,1.0,Good,59.0,L1,160.6252582,0.127270124,L1
65.0,United Kingdom of Great Britain and Northern Ireland,Guildford,51.0,Moderate,1.0,Good,25.0,Good,1.0,Good,51.0,L1,146.0624003,1.60422333,L1
66.0,Philippines,Guiset,66.0,Moderate,1.0,Good,26.0,Good,1.0,Good,66.0,L1,169.2798988,-2.088213349,L1
67.0,Russian Federation,Gukovo,38.0,Good,1.0,Good,38.0,Good,0.0,Good,13.0,L0,110.035329,-2.893996058,L0
68.0,United States of America,Havre De Grace,34.0,Good,1.0,Good,30.0,Good,7.0,Good,34.0,L0,93.61636025,0.66090627,L0
69.0,United States of America,Hazelwood,88.0,Moderate,1.0,Good,11.0,Good,1.0,Good,88.0,L1,218.5488025,7.433061221,L1
70.0,Germany,Heddesheim,54.0,Moderate,1.0,Good,31.0,Good,3.0,Good,54.0,L1,143.6139561,7.656972174,L1
71.0,Germany,Heiligenhaus,44.0,Good,1.0,Good,28.0,Good,3.0,Good,44.0,L0,130.3803657,-0.941770533,L0
72.0,United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51.0,Moderate,1.0,Good,26.0,Good,6.0,Good,51.0,L1,132.1417396,-0.246379597,L1
73.0,United States of America,Hicksville,67.0,Moderate,1.0,Good,15.0,Good,1.0,Good,67.0,L1,188.1464366,-3.299115877,L1
74.0,Brazil,Hidrolandia,42.0,Good,1.0,Good,5.0,Good,2.0,Good,42.0,L0,83.80254896,4.871761041,L0
75.0,India,Gyanpur,50.0,Unhealthy,1.0,Good,31.0,Moderate,1.0,Good,50.0,L3,130.39634565,1.93930549,L3
76.0,Germany,Haiger,49.0,Good,1.0,Good,25.0,Good,3.0,Good,49.0,L0,128.3704707,12.11515689,L0
77.0,China,Hangzhou,50.0,Very Unhealthy,1.0,Good,31.0,Very Unhealthy,5.0,Good,50.0,L3,130.39634565,13.049044,L3
78.0,Germany,Harrislee,35.0,Good,1.0,Good,32.0,Good,0.0,Good,35.0,L0,93.41760777,1.142771283,L0
79.0,United States of America,Harrison,90.0,Moderate,1.0,Good,25.0,Good,2.0,Good,90.0,L1,210.1243109,0.594437862,L1
80.0,India,Harur,67.0,Moderate,1.0,Good,26.0,Good,1.0,Good,67.0,L1,170.3032811,-3.673351101,L1
81.0,Germany,Hasbergen,36.0,Good,1.0,Good,34.0,Good,1.0,Good,36.0,L0,98.57112572,-4.839358885,L0
82.0,France,Haubourdin,48.0,Good,1.0,Good,28.0,Good,4.0,Good,48.0,L0,139.7789404,0.689295227,L0
83.0,United States of America,Taunton,41.0,Good,1.0,Good,28.0,Good,1.0,Good,41.0,L0,102.3172978,0.30548559,L0
84.0,New Zealand,Tauranga,19.0,Good,1.0,Good,19.0,Good,1.0,Good,17.0,L0,44.41506397,-2.995859214,L0
85.0,Tunisia,Tawzar,73.0,Moderate,1.0,Good,43.0,Good,0.0,Good,73.0,L1,182.4824296,5.685473637,L1
86.0,Viet Nam,Tay Ninh,45.0,Good,1.0,Good,18.0,Good,1.0,Good,45.0,L0,126.6540212,4.571327962,L0
