Unnamed: 0,Country,City,AQI_Value,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,SO2
0.0,Russian Federation,Praskoveya,51.0,Moderate,1.0,Good,36.0,Good,0.0,Good,51.0,L1,10.58399843
1.0,Brazil,Presidente Dutra,41.0,Good,1.0,Good,5.0,Good,1.0,Good,41.0,L0,3.415177318
2.0,Italy,Priolo Gargallo,66.0,Moderate,1.0,Good,39.0,Good,2.0,Good,66.0,L1,-0.907914832
3.0,Poland,Przasnysz,34.0,Good,1.0,Good,34.0,Good,0.0,Good,20.0,L0,3.394131948
4.0,France,Punaauia,22.0,Good,1.0,Good,22.0,Good,0.0,Good,6.0,L0,12.45832718
5.0,United States of America,Punta Gorda,54.0,Moderate,1.0,Good,14.0,Good,1.0,Good,54.0,L1,8.794839177
6.0,Germany,Puttlingen,62.0,Moderate,1.0,Good,35.0,Good,3.0,Good,62.0,L1,6.553713458
7.0,Belgium,Puurs,64.0,Moderate,1.0,Good,29.0,Good,1.0,Good,64.0,L1,8.613424585
8.0,Russian Federation,Pyatigorsk,54.0,Moderate,1.0,Good,41.0,Good,1.0,Good,54.0,L1,11.50283306
9.0,Egypt,Qalyub,50.0,Unhealthy for Sensitive Groups,1.0,Good,31.0,Moderate,1.0,Good,50.0,L2,1.635668992
10.0,China,Qinzhou,68.0,Moderate,1.0,Good,31.0,Moderate,1.0,Good,58.0,L1,3.639800657
11.0,Netherlands,Raalte,41.0,Good,1.0,Good,24.0,Good,6.0,Good,41.0,L0,1.156391836
12.0,India,Radaur,50.0,Unhealthy,1.0,Good,31.0,Unhealthy for Sensitive Groups,1.0,Good,50.0,L3,10.33557199
13.0,Pakistan,Radhan,50.0,Unhealthy,1.0,Good,50.0,Good,1.0,Good,50.0,L3,4.600554453
14.0,Republic of North Macedonia,Radovis,83.0,Moderate,1.0,Good,46.0,Good,0.0,Good,83.0,L1,7.581556453
15.0,France,Raismes,59.0,Moderate,1.0,Good,30.0,Good,4.0,Good,59.0,L1,1.265563251
16.0,India,Rajgir,50.0,Unhealthy,1.0,Good,31.0,Unhealthy for Sensitive Groups,2.0,Good,50.0,L3,14.25976025
17.0,Italy,Ramacca,55.0,Moderate,1.0,Good,47.0,Good,0.0,Good,55.0,L1,3.453331459
18.0,United States of America,Phoenix,72.0,Moderate,1.0,Good,4.0,Good,1.0,Good,72.0,L1,7.27272776
19.0,India,Phulabani,50.0,Unhealthy,1.0,Good,31.0,Moderate,0.0,Good,50.0,L3,11.57703249
20.0,Poland,Piaseczno,28.0,Good,1.0,Good,28.0,Good,2.0,Good,28.0,L0,9.375621577
21.0,India,Pimpri,50.0,Unhealthy for Sensitive Groups,1.0,Good,30.0,Good,2.0,Good,118.0,L2,7.404142042
22.0,Brazil,Pindobacu,33.0,Good,1.0,,10.0,Good,1.0,Good,33.0,L0,6.096734532
23.0,China,Pingyin,50.0,Unhealthy,1.0,Good,31.0,Moderate,6.0,Good,50.0,L3,16.10830332
24.0,Brazil,Pinheiral,50.0,Unhealthy,1.0,,0.0,Good,1.0,Good,50.0,L3,13.56800617
25.0,India,Piravam,81.0,Moderate,1.0,Good,24.0,Good,1.0,Good,81.0,L1,0.15176799
26.0,Colombia,Plato,67.0,Moderate,1.0,Good,16.0,Good,2.0,Good,67.0,L1,6.715253655
27.0,Romania,Poiana Mare,62.0,Moderate,1.0,Good,37.0,Good,1.0,Good,62.0,L1,3.61359391
28.0,Russian Federation,Polevskoy,31.0,Good,1.0,Good,31.0,Good,0.0,Good,17.0,L0,-7.940005672
29.0,France,Pontarlier,56.0,Moderate,1.0,Good,35.0,Good,0.0,Good,56.0,L1,6.109990119
30.0,United States of America,Pontiac,77.0,Moderate,1.0,Good,31.0,Good,1.0,Good,77.0,L1,6.18325325
31.0,Indonesia,Pontianak,44.0,Good,1.0,Good,15.0,Good,0.0,Good,44.0,L0,9.582088857
32.0,Brazil,Porecatu,30.0,Good,1.0,Good,9.0,Good,2.0,Good,30.0,L0,0.049531713
33.0,Finland,Pori,30.0,Good,1.0,Good,30.0,Good,1.0,Good,15.0,L0,-3.728548312
34.0,South Africa,Port Elizabeth,79.0,Moderate,1.0,Good,31.0,Good,5.0,Good,79.0,L1,8.243404297
35.0,United States of America,Port Neches,34.0,Good,1.0,,31.0,Good,7.0,Good,34.0,L0,5.700886938
36.0,United Kingdom of Great Britain and Northern Ireland,Port Talbot,51.0,Moderate,1.0,Good,20.0,Good,5.0,Good,51.0,L1,4.269164727
37.0,United States of America,Portales,77.0,Moderate,1.0,Good,34.0,Good,1.0,Good,77.0,L1,3.903543418
38.0,United States of America,Post Falls,61.0,Moderate,1.0,Good,32.0,Good,3.0,Good,61.0,L1,-1.543634771
39.0,Brazil,Pouso Alegre,32.0,Good,1.0,Good,7.0,Good,2.0,Good,32.0,L0,3.105414315
40.0,China,Dalinghe,64.0,Moderate,1.0,Good,31.0,Moderate,4.0,Good,64.0,L1,5.657970852
41.0,Russian Federation,Dalnegorsk,29.0,Good,1.0,Good,29.0,Good,0.0,Good,25.0,L0,7.363543704
42.0,United Republic of Tanzania,Dar Es Salaam,51.0,Moderate,1.0,Good,23.0,Good,0.0,Good,51.0,L1,5.69662682
43.0,India,Darbhanga,50.0,Very Unhealthy,1.0,Good,31.0,Unhealthy,1.0,Good,50.0,L4,6.010014391
44.0,United States of America,Dayton,45.0,Good,1.0,Good,31.0,Good,7.0,Good,45.0,L0,12.41942438
45.0,Belgium,Deinze,36.0,Good,1.0,Good,25.0,Good,3.0,Good,36.0,L0,2.455461619
46.0,Egypt,Dekernes,81.0,Moderate,1.0,Good,31.0,Moderate,4.0,Good,56.0,L1,8.388933619
47.0,Haiti,Delmas,50.0,Unhealthy for Sensitive Groups,1.0,Good,15.0,Good,5.0,Good,50.0,L2,4.765393332
48.0,United States of America,Deming,72.0,Moderate,1.0,,26.0,Good,2.0,Good,72.0,L1,11.95576258
49.0,United Kingdom of Great Britain and Northern Ireland,Denton,55.0,Moderate,1.0,,32.0,Good,1.0,Good,55.0,L1,2.434298879
50.0,United States of America,Destin,31.0,Good,1.0,Good,31.0,Good,0.0,Good,25.0,L0,2.582071139
51.0,Pakistan,Dhadar,50.0,Unhealthy,1.0,Good,31.0,Moderate,1.0,Good,50.0,L3,3.100648206
52.0,India,Dharmapuri,60.0,Moderate,1.0,Good,31.0,Good,1.0,Good,60.0,L1,4.78255963
53.0,Pakistan,Digri,50.0,Unhealthy,1.0,Good,40.0,Good,0.0,Good,50.0,L3,9.797689193
54.0,Somalia,Dinsor,22.0,Good,1.0,Good,19.0,Good,0.0,Good,22.0,L0,6.229219223
55.0,Philippines,Dipolog,30.0,Good,1.0,Good,17.0,Good,0.0,Good,30.0,L0,3.940380906
56.0,Latvia,Dobele,44.0,Good,1.0,Good,34.0,Good,0.0,Good,44.0,L0,12.30662553
57.0,United States of America,Grandville,47.0,Good,1.0,Good,31.0,Good,4.0,Good,47.0,L0,8.164928207
58.0,Netherlands,Grave,37.0,Good,1.0,Good,32.0,Good,2.0,Good,37.0,L0,-0.190905596
59.0,United States of America,Green Valley,44.0,Good,1.0,,14.0,Good,1.0,Good,44.0,L0,-3.101741769
60.0,United States of America,Greendale,58.0,Moderate,1.0,Good,14.0,Good,1.0,Good,58.0,L1,3.524930991
61.0,Poland,Grudziadz,37.0,Good,1.0,,33.0,Good,0.0,Good,37.0,L0,4.066743893
62.0,Colombia,Guamo,89.0,Moderate,1.0,Good,3.0,Good,6.0,Good,89.0,L1,10.38600185
63.0,Italy,Guardiagrele,52.0,Moderate,1.0,Good,38.0,Good,7.0,Good,52.0,L1,12.39568842
64.0,Chad,Guelengdeng,59.0,Moderate,1.0,Good,16.0,Good,1.0,Good,59.0,L1,0.127270124
65.0,United Kingdom of Great Britain and Northern Ireland,Guildford,51.0,Moderate,1.0,Good,25.0,Good,1.0,Good,51.0,L1,1.60422333
66.0,Philippines,Guiset,66.0,Moderate,1.0,Good,26.0,Good,1.0,Good,66.0,L1,-2.088213349
67.0,Russian Federation,Gukovo,38.0,Good,1.0,Good,38.0,Good,0.0,Good,13.0,L0,-2.893996058
