Country,City,AQI_Value,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,VOCs,SO2,Emissions,AQI_Category
Germany,Amberg,42.0,1.0,Good,35.0,Good,2.0,Good,42.0,L0,91.54576115,13.52601499,L0,Good
Philippines,San Pedro,56.0,1.0,Good,25.0,Good,2.0,Good,56.0,L1,136.0721248,9.13677355,L1,Moderate
United States of America,Florida Ridge,48.0,1.0,Good,16.0,Good,1.9780400184002556,Good,48.0,L0,101.5775313,1.350506482,L0,Good
Thailand,Nong Phai,44.0,1.0,Good,21.0,Good,0.0,Good,44.0,L0,124.7439936,-1.142823065,L0,Good
India,Deoranian,55.26995610029527,1.0,,33.0,Good,1.8318186254448976,Good,51.157272246171495,L3,142.82123545792507,16.64249955,L3,Unhealthy
Azerbaijan,Yevlax,64.0,1.0,Good,44.0,Good,0.0,Good,64.0,L1,169.8058676,-3.161853912,L1,Moderate
United States of America,Anderson,65.0,1.0,Good,31.0,Good,2.1172932982977852,Good,65.0,L1,175.0046986,14.22978986,L1,Moderate
United Republic of Tanzania,Matui,21.0,1.0,Good,17.0,Good,0.0,Good,21.0,L0,69.90383435,2.761556789,L0,Good
Russian Federation,Novospasskoye,48.0,1.0,Good,34.0,Good,1.1572695150042298,Good,48.0,L0,122.8058768,-8.106725756,L0,Good
China,Daokou,55.07999616120377,1.0,Good,27.841861987158612,Unhealthy,2.0056731615799492,Good,52.299399398538476,L3,142.420683999537,15.51380995,L3,Unhealthy
Italy,Lavello,52.0,1.0,Good,44.0,Good,2.0,Good,52.0,L1,135.2796654,5.189433286,L1,Moderate
Brazil,Itaberaba,16.0,1.0,Good,11.0,Good,0.0,Good,16.0,L0,49.86894811,-3.407688509,L0,Good
Guatemala,San Luis Jilotepeque,62.0,1.0,Good,10.0,Good,6.0,Good,62.0,L1,147.4485093,6.75351583,L1,Moderate
Belgium,Kortenberg,53.0,1.0,Good,38.0,Good,2.0,Good,53.0,L1,119.1379463,-0.478394833,L1,Moderate
United Republic of Tanzania,Kabanga,54.915676192372054,1.0,Good,10.0,Good,3.0,Good,56.88728017580975,L3,142.2588710221307,12.14009551,L3,Unhealthy
United States of America,Belvedere Park,100.0,1.0,Good,1.0,Good,3.4694809424632287,Good,100.0,L2,256.4125714,5.486738258,L2,Unhealthy for Sensitive Groups
Spain,Osuna,30.0,1.0,Good,31.0,Good,3.0,Good,30.0,L0,81.32508097,6.41802293,L0,Good
Mexico,Huetamo,43.0,1.0,Good,18.0,Good,2.0,Good,43.0,L0,128.3876522,2.715033259,L0,Good
United States of America,Albert Lea,42.0,1.0,Good,42.0,Good,1.0,Good,42.0,L0,98.05810599,7.760692132,L0,Good
Germany,Oberndorf,59.0,1.0,Good,39.0,Good,1.0,Good,59.0,L1,142.5370099,-2.06616654,L1,Moderate
Madagascar,Sakaraha,29.0,1.0,Good,23.0,Good,0.0,Good,29.0,L0,70.366891,4.856597871,L0,Good
Italy,Magione,38.0,1.0,Good,38.0,Good,2.0,Good,23.0,L0,91.74729455,9.19178596,L0,Good
United States of America,Glens Falls,64.0,1.0,Good,17.0,Good,6.0,Good,64.0,L1,173.3240054,5.934410772,L1,Moderate
India,Bijawar,52.14365294909257,1.0,Good,31.992765747102037,Unhealthy for Sensitive Groups,0.0,Good,48.09466663895514,L3,135.33581351805356,3.271610307,L3,Unhealthy
United States of America,Royal Palm Beach,103.29516059072287,1.0,Good,14.0,Good,3.4397798202174017,Good,114.0,L2,262.9916304127939,7.05663573,L2,Unhealthy for Sensitive Groups
Russian Federation,Kamyshlov,32.0,1.0,,32.0,Good,0.0,Good,23.0,L0,68.28027528,5.996297447,L0,Good
Haiti,Jeremie,87.0,1.0,Good,32.0,Good,0.0,Good,87.0,L1,225.7717055,0.468335241,L1,Moderate
Russian Federation,Sysert,36.0,1.0,Good,31.0,Good,0.0,Good,26.0,L0,85.4108591,1.025936836,L0,Good
Ecuador,Arenillas,34.0,1.0,Good,17.0,Good,1.0,Good,34.0,L0,73.28852835,-1.007076606,L0,Good
India,Madhogarh,55.22420287060806,1.0,,23.281518230723115,Moderate,5.0,Good,55.11118064027913,L3,143.19402329240594,3.427513866,L3,Unhealthy
Romania,Targu Lapus,67.0,1.0,Good,42.0,Good,0.0,Good,67.0,L1,171.7703057,2.833020994,L1,Moderate
Tajikistan,Hisor,51.94719000941881,1.0,Good,26.0,Good,1.0,Good,49.8768276997766,L2,135.03838085645293,-1.521092321,L2,Unhealthy for Sensitive Groups
Japan,Akashi,40.0,1.0,Good,40.0,Good,2.0,Good,29.0,L0,92.94417649,3.63780104,L0,Good
