Country,City,AQI_Value,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,SO2,AQI_Category
Germany,Amberg,42.0,1.0,Good,35.0,Good,2.0,Good,42.0,L0,13.52601499,Good
Philippines,San Pedro,56.0,1.0,Good,25.0,Good,2.0,Good,56.0,L1,9.13677355,Moderate
United States of America,Florida Ridge,48.0,1.0,Good,16.0,Good,1.0,Good,48.0,L0,1.350506482,Good
Thailand,Nong Phai,44.0,1.0,Good,21.0,Good,0.0,Good,44.0,L0,-1.142823065,Good
India,Deoranian,50.0,1.0,,33.0,Good,1.0,Good,50.0,L3,16.64249955,Unhealthy
Azerbaijan,Yevlax,64.0,1.0,Good,44.0,Good,0.0,Good,64.0,L1,-3.161853912,Moderate
United States of America,Anderson,65.0,1.0,Good,31.0,Good,1.0,Good,65.0,L1,14.22978986,Moderate
United Republic of Tanzania,Matui,21.0,1.0,Good,17.0,Good,0.0,Good,21.0,L0,2.761556789,Good
Russian Federation,Novospasskoye,48.0,1.0,Good,34.0,Good,1.0,Good,48.0,L0,-8.106725756,Good
China,Daokou,50.0,1.0,Good,31.0,Unhealthy,1.0,Good,50.0,L3,15.51380995,Unhealthy
Italy,Lavello,52.0,1.0,Good,44.0,Good,2.0,Good,52.0,L1,5.189433286,Moderate
Brazil,Itaberaba,16.0,1.0,Good,11.0,Good,0.0,Good,16.0,L0,-3.407688509,Good
Guatemala,San Luis Jilotepeque,62.0,1.0,Good,10.0,Good,6.0,Good,62.0,L1,6.75351583,Moderate
Belgium,Kortenberg,53.0,1.0,Good,38.0,Good,2.0,Good,53.0,L1,-0.478394833,Moderate
United Republic of Tanzania,Kabanga,50.0,1.0,Good,10.0,Good,3.0,Good,50.0,L3,12.14009551,Unhealthy
United States of America,Belvedere Park,100.0,1.0,Good,1.0,Good,1.0,Good,100.0,L2,5.486738258,Unhealthy for Sensitive Groups
Spain,Osuna,30.0,1.0,Good,31.0,Good,3.0,Good,30.0,L0,6.41802293,Good
Mexico,Huetamo,43.0,1.0,Good,18.0,Good,2.0,Good,43.0,L0,2.715033259,Good
United States of America,Albert Lea,42.0,1.0,Good,42.0,Good,1.0,Good,42.0,L0,7.760692132,Good
Germany,Oberndorf,59.0,1.0,Good,39.0,Good,1.0,Good,59.0,L1,-2.06616654,Moderate
Madagascar,Sakaraha,29.0,1.0,Good,23.0,Good,0.0,Good,29.0,L0,4.856597871,Good
Italy,Magione,38.0,1.0,Good,38.0,Good,2.0,Good,23.0,L0,9.19178596,Good
United States of America,Glens Falls,64.0,1.0,Good,17.0,Good,6.0,Good,64.0,L1,5.934410772,Moderate
India,Bijawar,50.0,1.0,Good,31.0,Unhealthy for Sensitive Groups,0.0,Good,50.0,L3,3.271610307,Unhealthy
United States of America,Royal Palm Beach,50.0,1.0,Good,14.0,Good,1.0,Good,114.0,L2,7.05663573,Unhealthy for Sensitive Groups
Russian Federation,Kamyshlov,32.0,1.0,,32.0,Good,0.0,Good,23.0,L0,5.996297447,Good
Haiti,Jeremie,87.0,1.0,Good,32.0,Good,0.0,Good,87.0,L1,0.468335241,Moderate
Russian Federation,Sysert,36.0,1.0,Good,31.0,Good,0.0,Good,26.0,L0,1.025936836,Good
Ecuador,Arenillas,34.0,1.0,Good,17.0,Good,1.0,Good,34.0,L0,-1.007076606,Good
India,Madhogarh,50.0,1.0,,31.0,Moderate,5.0,Good,50.0,L3,3.427513866,Unhealthy
Romania,Targu Lapus,67.0,1.0,Good,42.0,Good,0.0,Good,67.0,L1,2.833020994,Moderate
Tajikistan,Hisor,50.0,1.0,Good,26.0,Good,1.0,Good,50.0,L2,-1.521092321,Unhealthy for Sensitive Groups
Japan,Akashi,40.0,1.0,Good,40.0,Good,2.0,Good,29.0,L0,3.63780104,Good
Italy,Rubiera,74.0,1.0,Good,29.0,Good,6.0,Good,74.0,L1,7.418441135,Moderate
Germany,Mettlach,53.0,1.0,,29.0,Good,3.0,Good,53.0,L1,2.464121532,Moderate
India,Chikmagalur,25.0,1.0,Good,20.0,Good,0.0,Good,25.0,L0,-4.889700883,Good
China,Maanshan,50.0,1.0,Good,31.0,Good,1.0,Good,50.0,L3,7.52352625,Unhealthy
Thailand,Pa Sang,22.0,1.0,Good,22.0,Good,0.0,Good,17.0,L0,2.18503566,Good
France,Taverny,59.0,1.0,Good,21.0,Good,5.0,Good,59.0,L1,5.54541801,Moderate
United Kingdom of Great Britain and Northern Ireland,Stirling,39.0,1.0,Good,31.0,Good,7.0,Good,39.0,L0,12.51307088,Good
Belgium,Wichelen,60.0,1.0,Good,33.0,Good,5.0,Good,60.0,L1,-7.153238472,Moderate
United States of America,New Britain,60.0,1.0,Good,19.0,Good,1.0,Good,60.0,L1,7.686569312,Moderate
Italy,Prato,37.0,1.0,Good,37.0,Good,3.0,Good,18.0,L0,9.483029433,Good
Colombia,Tame,20.0,1.0,Good,10.0,Good,0.0,Good,20.0,L0,4.288873715,Good
Brazil,Boa Viagem,34.0,1.0,Good,12.0,Good,1.0,Good,34.0,L0,10.54435235,Good
India,Savda,50.0,1.0,Good,30.0,Good,5.0,Good,50.0,L3,5.267132753,Unhealthy
Iran (Islamic Republic of),Khalkhal,72.0,1.0,Good,41.0,Good,0.0,Good,72.0,L1,3.362156449,Moderate
Nigeria,Awka,50.0,1.0,Good,30.0,Good,5.0,Good,50.0,L3,16.3855691,Unhealthy
Netherlands,Best,30.0,1.0,Good,30.0,Good,2.0,Good,28.0,L0,2.212098446,Good
United States of America,Oklahoma City,53.0,1.0,Good,26.0,Good,4.0,Good,53.0,L1,0.375393628,Moderate
Russian Federation,Mikhaylovskoye,36.0,1.0,Good,36.0,Good,0.0,Good,34.0,L0,1.629057721,Good
India,Madhipura,50.0,1.0,Good,36.0,Good,1.0,Good,50.0,L2,9.940153774,Unhealthy for Sensitive Groups
Italy,Belpasso,55.0,1.0,Good,45.0,Good,0.0,Good,55.0,L1,5.569250008,Moderate
France,Vertou,32.0,1.0,Good,26.0,Good,2.0,Good,32.0,L0,6.660381621,Good
India,Sarkhej,50.0,1.0,Good,40.0,Good,1.0,Good,50.0,L3,9.677178783,Unhealthy
Croatia,Velika Gorica,76.0,1.0,Good,31.0,Moderate,0.0,Good,76.0,L1,-1.366501209,Moderate
Switzerland,Carouge,60.0,1.0,Good,42.0,Good,0.0,Good,60.0,L1,-5.134788322,Moderate
Uzbekistan,Muborak,70.0,1.0,,45.0,Good,0.0,Good,70.0,L1,9.310885411,Moderate
India,Bhagalpur,80.0,1.0,Good,31.0,Moderate,1.0,Good,80.0,L1,9.441269186,Moderate
Ukraine,Obukhiv,73.0,1.0,,38.0,Good,2.0,Good,73.0,L1,4.363396731,Moderate
United States of America,Vidor,31.0,1.0,Good,31.0,Good,1.0,Good,31.0,L0,-9.749398987,Good
India,Tadepalle,50.0,1.0,Good,40.0,Good,0.0,Good,50.0,L2,6.891884603,Unhealthy for Sensitive Groups
Sweden,Enkoping,30.0,1.0,Good,30.0,Good,0.0,Good,13.0,L0,3.395581391,Good
,Si Racha,38.0,1.0,Good,20.0,Good,0.0,Good,38.0,L0,0.755533402,Good
China,Langfang,50.0,1.0,Good,31.0,Unhealthy for Sensitive Groups,7.0,Good,50.0,L2,9.4974247,Unhealthy for Sensitive Groups
India,Maur,50.0,1.0,Good,31.0,Moderate,1.0,Good,50.0,L5,-0.863298196,Hazardous
Ukraine,Khust,59.0,1.0,Good,47.0,Good,0.0,Good,59.0,L1,3.177717386,Moderate
Poland,Wloszczowa,38.0,1.0,Good,30.0,Good,1.0,Good,38.0,L0,4.045499053,Good
United States of America,Lancaster,41.0,1.0,,41.0,Good,3.0,Good,32.0,L0,4.245957552,Good
India,Cumbum,106.0,1.0,,37.0,Good,0.0,Good,106.0,L2,5.172586501,Unhealthy for Sensitive Groups
Germany,Herdecke,60.0,1.0,Good,30.0,Good,6.0,Good,60.0,L1,0.539929381,Moderate
Switzerland,Herisau,57.0,1.0,Good,24.0,Good,3.0,Good,57.0,L1,2.997730684,Moderate
Philippines,Lianga,50.0,1.0,Good,20.0,Good,0.0,Good,50.0,L0,-2.117459412,Good
Germany,Bad Oeynhausen,34.0,1.0,Good,31.0,Good,1.0,Good,34.0,L0,1.495674451,Good
Italy,Tortona,32.0,1.0,Good,32.0,Good,2.0,Good,26.0,L0,-3.160469013,Good
India,Beypur,74.0,1.0,Good,24.0,Good,0.0,Good,74.0,L1,4.707970531,Moderate
Belgium,Sint Gillis Waas,35.0,1.0,Good,32.0,Good,1.0,Good,35.0,L0,4.730343898,Good
India,Badlapur,50.0,1.0,Good,19.0,Good,1.0,Good,50.0,L3,4.237580481,Unhealthy
Spain,Alora,33.0,1.0,Good,32.0,Good,3.0,Good,33.0,L0,0.454730326,Good
Croatia,Karlovac,31.0,1.0,Good,31.0,Good,1.0,Good,28.0,L0,12.10469409,Good
United States of America,Hurricane,32.0,1.0,Good,32.0,Good,1.0,Good,28.0,L0,8.851774122,Good
