Country,City,AQI_Value,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,SO2,AQI_Category
Germany,Amberg,-0.541150562308903,0.0,Good,0.535627086626773,Good,0.3027162608553311,Good,-0.3823085284600589,L0,1.807806527101157,Good
Philippines,San Pedro,0.21395393774437538,0.0,Good,-0.35801311994412083,Good,0.3027162608553311,Good,0.25729009579336815,L1,0.9506390203050701,Moderate
United States of America,Florida Ridge,-0.21753434800035512,0.0,Good,-1.1622893058579253,Good,-0.2811292196476039,Good,-0.10819483235144729,L0,-0.5699278523903711,Good
Thailand,Nong Phai,-0.43327849087272036,0.0,Good,-0.7154692025724784,Good,-0.8649747001505389,Good,-0.290937296423855,L0,-1.0568459453315073,Good
India,Deoranian,-0.10966227656417249,0.0,,0.35689904531259425,Good,-0.2811292196476039,Good,-0.01682360031524343,L3,2.4164195042591645,Unhealthy
Azerbaijan,Yevlax,0.6454422234891058,0.0,Good,1.3399032725405775,Good,-0.8649747001505389,Good,0.6227750239381836,L1,-1.451139050626572,Moderate
United States of America,Anderson,0.6993782592071972,0.0,Good,0.17817100399841548,Good,-0.2811292196476039,Good,0.6684606399562856,L1,1.9452455262790287,Moderate
United Republic of Tanzania,Matui,-1.6738073123888206,0.0,Good,-1.072925285200836,Good,-0.8649747001505389,Good,-1.3417064648401995,L0,-0.2943662342500296,Good
Russian Federation,Novospasskoye,-0.21753434800035512,0.0,Good,0.4462630659696836,Good,-0.2811292196476039,Good,-0.10819483235144729,L0,-2.4168146754214677,Good
China,Daokou,-0.10966227656417249,0.0,Good,0.17817100399841548,Unhealthy,-0.2811292196476039,Good,-0.01682360031524343,L3,2.1959996290702817,Unhealthy
Italy,Lavello,-0.0017902051279898713,0.0,Good,1.3399032725405775,Good,0.3027162608553311,Good,0.07454763172096043,L1,0.1797696437121329,Moderate
Brazil,Itaberaba,-1.943487490979277,0.0,Good,-1.6091094091433722,Good,-0.8649747001505389,Good,-1.5701345449307091,L0,-1.4991476715865324,Good
Guatemala,San Luis Jilotepeque,0.5375701520529232,0.0,Good,-1.6984734298004616,Good,2.638098182867071,Good,0.5314037919019797,L1,0.4852166675294787,Moderate
Belgium,Kortenberg,0.05214583059010144,0.0,Good,0.8037191485980412,Good,0.3027162608553311,Good,0.12023324773906237,L1,-0.9270908842682973,Moderate
United Republic of Tanzania,Kabanga,-0.10966227656417249,0.0,Good,-1.6984734298004616,Good,0.886561741358266,Good,-0.01682360031524343,L3,1.537152665487263,Unhealthy
United States of America,Belvedere Park,2.587139509340393,0.0,Good,-2.502749615714266,Good,-0.2811292196476039,Good,2.2674572005898534,L2,0.23782982679636996,Unhealthy for Sensitive Groups
Spain,Osuna,-1.1883829909259986,0.0,Good,0.17817100399841548,Good,0.886561741358266,Good,-0.9305359206772821,L0,0.41969882883870274,Good
Mexico,Huetamo,-0.48721452659081166,0.0,Good,-0.9835612645437465,Good,0.3027162608553311,Good,-0.33662291244195697,L0,-0.3034517354152271,Good
United States of America,Albert Lea,-0.541150562308903,0.0,Good,1.1611752312263988,Good,-0.2811292196476039,Good,-0.3823085284600589,L0,0.6819064171116849,Good
Germany,Oberndorf,0.3757620448986493,0.0,Good,0.8930831692551305,Good,-0.2811292196476039,Good,0.394346943847674,L1,-1.2371641244978338,Moderate
Madagascar,Sakaraha,-1.24231902664409,0.0,Good,-0.5367411612582996,Good,-0.8649747001505389,Good,-0.976221536695384,L0,0.11477078075393783,Good
Italy,Magione,-0.7568947051812682,0.0,Good,0.8037191485980412,Good,0.3027162608553311,Good,-1.2503352328039956,L0,0.9613823004292424,Good
United States of America,Glens Falls,0.6454422234891058,0.0,Good,-1.072925285200836,Good,2.638098182867071,Good,0.6227750239381836,L1,0.3252550317963747,Moderate
India,Bijawar,-0.10966227656417249,0.0,Good,0.17817100399841548,Unhealthy for Sensitive Groups,-0.8649747001505389,Good,-0.01682360031524343,L3,-0.19475874891729458,Unhealthy
United States of America,Royal Palm Beach,-0.10966227656417249,0.0,Good,-1.341017347172104,Good,-0.2811292196476039,Good,2.9070558248432805,L2,0.5444124380276445,Unhealthy for Sensitive Groups
Russian Federation,Kamyshlov,-1.0805109194898161,0.0,,0.2675350246555049,Good,-0.8649747001505389,Good,-1.2503352328039956,L0,0.33734077545818836,Good
Haiti,Jeremie,1.885971045005206,0.0,Good,0.2675350246555049,Good,-0.8649747001505389,Good,1.6735441923545282,L1,-0.7422055758995112,Moderate
Russian Federation,Sysert,-0.8647667766174508,0.0,Good,0.17817100399841548,Good,-0.8649747001505389,Good,-1.1132783847496899,L0,-0.6333125073578838,Good
Ecuador,Arenillas,-0.9726388480536334,0.0,Good,-1.072925285200836,Good,-0.2811292196476039,Good,-0.7477934566048744,L0,-1.0303362498845812,Good
India,Madhogarh,-0.10966227656417249,0.0,,0.17817100399841548,Moderate,2.054252702364136,Good,-0.01682360031524343,L3,-0.16431260764312794,Unhealthy
Romania,Targu Lapus,0.8072503306433798,0.0,Good,1.1611752312263988,Good,-0.8649747001505389,Good,0.7598318719924895,L1,-0.2804101110195394,Moderate
Tajikistan,Hisor,-0.10966227656417249,0.0,Good,-0.26864909928703146,Good,-0.2811292196476039,Good,-0.01682360031524343,L2,-1.1307175059406522,Unhealthy for Sensitive Groups
Japan,Akashi,-0.6490226337450856,0.0,Good,0.9824471899122199,Good,0.3027162608553311,Good,-0.976221536695384,L0,-0.12324598255248934,Good
Italy,Rubiera,1.1848025806700189,0.0,Good,-0.0005570373157632871,Good,2.638098182867071,Good,1.079631184119203,L1,0.6150688011347053,Moderate
Germany,Mettlach,0.05214583059010144,0.0,,-0.0005570373157632871,Good,0.886561741358266,Good,0.12023324773906237,L1,-0.3524518604706604,Moderate
India,Chikmagalur,-1.4580631695164552,0.0,Good,-0.8048332232295677,Good,-0.8649747001505389,Good,-1.1589640007677917,L0,-1.788567351280099,Good
China,Maanshan,-0.10966227656417249,0.0,Good,0.17817100399841548,Good,-0.2811292196476039,Good,-0.01682360031524343,L3,0.6355906947824445,Unhealthy
Thailand,Pa Sang,-1.6198712766707293,0.0,Good,-0.626105181915389,Good,-0.8649747001505389,Good,-1.5244489289126073,L0,-0.4069540664564519,Good
France,Taverny,0.3757620448986493,0.0,Good,-0.7154692025724784,Good,2.054252702364136,Good,0.394346943847674,L1,0.24928929591166488,Moderate
United Kingdom of Great Britain and Northern Ireland,Stirling,-0.7029586694631769,0.0,Good,0.17817100399841548,Good,3.221943663370006,Good,-0.5193653765143647,L0,1.6099903920898007,Good
Belgium,Wichelen,0.42969808061674064,0.0,Good,0.35689904531259425,Good,2.054252702364136,Good,0.4400325598657759,L1,-2.2306097629872017,Moderate
United States of America,New Britain,0.42969808061674064,0.0,Good,-0.8941972438866571,Good,-0.2811292196476039,Good,0.4400325598657759,L1,0.6674310974728328,Moderate
Italy,Prato,-0.8108307408993596,0.0,Good,0.7143551279409518,Good,0.886561741358266,Good,-1.4787633128945052,L0,1.0182587436676993,Good
Colombia,Tame,-1.7277433481069118,0.0,Good,-1.6984734298004616,Good,-0.8649747001505389,Good,-1.3873920808583013,L0,0.003900894465241821,Good
Brazil,Boa Viagem,-0.9726388480536334,0.0,Good,-1.5197453884862828,Good,-0.2811292196476039,Good,-0.7477934566048744,L0,1.2255226937388626,Good
India,Savda,-0.10966227656417249,0.0,Good,0.0888069833413261,Good,2.054252702364136,Good,-0.01682360031524343,L3,0.19494344066958055,Unhealthy
Iran (Islamic Republic of),Khalkhal,1.0769305092338364,0.0,Good,1.0718112105693094,Good,-0.8649747001505389,Good,0.9882599520829991,L1,-0.1770761466159401,Moderate
Nigeria,Awka,-0.10966227656417249,0.0,Good,0.0888069833413261,Good,2.054252702364136,Good,-0.01682360031524343,L3,2.3662439930103467,Unhealthy
Netherlands,Best,-1.1883829909259986,0.0,Good,0.0888069833413261,Good,0.3027162608553311,Good,-1.021907152713486,L0,-0.4016690209378403,Good
United States of America,Oklahoma City,0.05214583059010144,0.0,Good,-0.26864909928703146,Good,1.4704072218612012,Good,0.12023324773906237,L1,-0.7603559856643514,Moderate
Russian Federation,Mikhaylovskoye,-0.8647667766174508,0.0,Good,0.6249911072838624,Good,-0.8649747001505389,Good,-0.7477934566048744,L0,-0.5155300539752102,Good
India,Madhipura,-0.10966227656417249,0.0,Good,0.6249911072838624,Good,-0.2811292196476039,Good,-0.01682360031524343,L2,1.1075297799109858,Unhealthy for Sensitive Groups
Italy,Belpasso,0.16001790202628408,0.0,Good,1.4292672931976669,Good,-0.8649747001505389,Good,0.21160447977526622,L1,0.2539434063284365,Moderate
France,Vertou,-1.0805109194898161,0.0,Good,-0.26864909928703146,Good,0.3027162608553311,Good,-0.8391646886410782,L0,0.4670286460188743,Good
